,,CCT2,CCT5,CCT6A,CCT7,CCT8,Pink1,Parkin,Atg1,Atg8,FOXO,PARP1,SIRT1,PARP2,NADSYN,MRPS5,Ubl-5,SOD3,RETL1,TERT,TERC,GAPDH
,,26.55444145,23.76015663,26.0118866,26.2085743,24.73570824,25.91404152,0,31.90546989,29.65403748,27.28865242,28.46619987,26.71879959,28.80026627,24.93774223,34.14713669,31.93499374,24.76306534,27.37304688,30.68680954,26.74987602,20.42930794
,,26.37010193,23.68444443,25.77645302,26.60075951,24.52985764,26.59031296,0,31.79412651,28.89161873,27.6554985,28.30898666,27.0711174,29.49505234,25.38326454,34.07557678,32.00619507,25.12170792,27.70819092,30.75755501,26.79239464,20.7912426
37,W0_sub20_placebo,27.50654221,23.75855255,25.88532639,27.49427223,24.90906143,25.26399231,0,31.56879997,29.8029995,26.71697044,30.89766693,29.07224274,30.94976044,27.7446804,34.92340469,31.54337311,26.27614021,26.80734062,29.88603592,26.00951385,21.02771568
,,27.52511024,23.69324493,25.91732597,27.54743576,24.81898308,25.40541267,0,31.33433914,29.82684708,26.65694809,30.54259109,29.6110878,31.56801033,27.14382362,34.93515778,31.38793564,25.92005348,26.87143326,29.85727501,25.95195007,20.94961548
,,27.59306717,23.90639877,25.58960152,27.93058014,24.57860947,25.90975189,0,30.91686058,28.9346199,26.92519569,30.55803108,29.10155487,30.91952324,26.91347694,34.69878769,31.43146706,25.89666748,26.75240326,29.8321743,26.09925652,21.1462822
42,W2_sub1_youth,25.86791229,24.95424843,26.62648392,25.92894173,23.67697334,26.13412857,26.62291527,29.38677597,30.65195656,27.00967407,27.28089714,28.21282578,27.57738113,24.9176693,28.91280556,30.10868835,24.7508831,25.9282093,28.69647598,26.93076897,20.51664543
,,25.98017502,24.62052727,26.17297554,25.92562294,24.14495468,25.85113907,26.5434742,28.90462875,30.48557854,27.63228798,27.91536331,27.43631554,29.08407021,27.79008102,28.09041786,31.82991982,26.23563957,25.76349068,28.27864838,26.91941643,21.91195488
,,25.89600372,24.82016945,26.76843071,25.93472099,24.21440125,26.3726387,26.44875908,29.62719917,30.44441986,27.47980118,26.92050362,28.14308357,27.71881294,25.29432106,28.90120697,29.89893723,24.67009163,25.43563652,28.9271431,27.14209938,19.92678452
49,W2_sub2_youth,24.96844673,24.93400192,26.25214767,25.76457024,24.92144775,27.21608353,28.83086205,30.92050743,30.92460632,27.23787498,26.51944351,28.15435219,26.71773338,24.61240196,30.82476997,31.19976234,24.21136856,27.67814636,31.25614166,28.59085274,19.92969322
,,25.21818161,24.55661201,26.6776123,25.51683044,24.40491104,27.79560471,28.78935623,30.85308838,29.94735718,27.30687904,27.29078293,27.94184494,28.38918495,25.8939991,31.78603935,33.66655731,24.82704544,29.42160416,32.72084045,30.73133659,20.79673004
,,25.298769,24.66375732,26.42008781,25.93512344,24.36006927,27.89839935,28.70186234,30.47968102,30.60433769,27.26135254,26.26013947,28.75690269,26.95468903,24.89067268,30.71400261,30.66781998,24.27798271,27.11308098,31.40049171,28.92827034,19.52699852
34,W2_sub3_youth,25.46533012,25.36137009,26.56020927,25.70248032,25.13155556,27.85277367,30.29676628,31.96381187,30.91808128,27.92830849,26.87615395,27.82584381,26.95929718,24.6549511,31.64778328,33.26094818,24.51679611,29.18125153,32.9366188,30.63570404,20.46406555
,,25.58210564,25.90579414,25.93514061,25.37176132,24.6469593,27.91822624,29.92722321,31.57810593,30.92448425,27.83545876,27.49652672,27.11220741,30.35323906,28.51385498,30.6996479,32.37223434,26.96445084,27.8261795,30.72403717,28.89854622,22.80289841
,,25.41095734,25.03898048,26.48920631,25.77555466,24.59607315,28.44981384,29.92899895,31.9481926,30.73048019,27.96720505,26.52455521,27.72102356,27.53331757,24.63201904,31.78805923,33.323246,24.46176529,28.39101028,33.49465561,31.34008026,20.031353
35,W2_sub4_youth,25.495224,25.1726532,26.26881409,25.8702774,24.96263123,27.80243111,29.81502914,31.70161247,30.90592766,27.90048218,26.89062309,27.77146721,26.322155,24.75387764,31.28054237,32.92502213,24.60786247,28.43738556,32.360569,30.4878788,20.42846298
,,25.4409771,25.92671585,25.72553444,25.58734894,24.39149475,28.18077087,29.64311218,31.17798805,30.78972244,27.92784309,27.28926659,27.11797142,29.04128456,26.86633301,31.92151451,33.68842316,25.93107033,28.75321388,31.92717171,30.41928291,21.77391243
,,25.37598419,24.96811676,26.40859222,25.8950882,24.39125443,28.46698189,29.55753136,31.87103653,30.93247032,28.08027458,26.58447647,27.73797989,26.55241013,24.85668182,31.71579933,32.46444321,24.66802979,28.11849403,33.2460022,30.95900536,19.92832184
38,W2_sub5_youth,26.07788467,25.47368813,26.97501564,26.75383377,25.10420036,26.88635635,27.91785049,30.43505096,30.92394829,27.95053482,27.95556831,29.46143341,27.69800949,25.48955154,30.3253231,30.7647686,24.93253517,27.34705734,30.13768387,28.03333092,20.72066116
,,26.16433716,25.94195175,26.53412628,26.44199371,24.66021347,27.10013962,27.84438705,30.18577766,30.77814674,27.87359428,28.41403198,28.91413498,28.75024223,26.55825996,31.18425941,31.92505646,25.81776237,27.9083519,30.99764061,29.23684692,21.47641945
,,26.30279541,25.24900246,26.93330574,26.88784218,24.6182766,27.68293571,27.59636497,30.97109604,30.79494286,27.92776299,27.60397148,29.69470024,27.80400085,25.83581543,30.20259094,30.91684341,24.9399147,26.91931152,30.27404976,28.36961746,20.19425964
32,W2_sub6_youth,25.97180557,25.69054031,26.93423653,26.54925537,25.45372963,27.94007111,30.70810127,32.17345047,30.26919937,28.65294456,28.10343742,29.1878376,27.53692818,25.21382141,31.84801292,33.8848114,24.92890358,29.64161873,33.41558838,31.04027939,20.88695145
,,25.87367249,26.10848427,26.44285393,26.15061951,24.92531776,28.50403786,30.46008301,31.79896545,30.91867828,28.60224342,28.42042732,28.45475006,28.68156815,26.88945389,30.7777195,31.83882713,26.01252937,27.87102318,30.95389366,28.44175148,21.62511826
,,27.010149,24.92601776,26.99659538,26.63812637,24.92998695,28.85281563,30.57411385,32.87331009,30.7898674,28.61950302,27.66768646,29.11974335,27.75985527,25.59073257,31.91528702,32.81000137,24.9582119,29.06406975,33.20274734,31.15544701,20.70495415
32,W2_sub7_youth,25.2101841,24.92430115,26.33440781,25.56089211,24.84817505,26.92357826,28.52809715,30.70055771,30.78132439,27.58542824,26.93354225,27.91883469,26.83970833,24.76377678,30.69034767,31.50668144,24.29666901,27.96644211,30.89986992,28.55113411,20.05715561
,,25.38307381,25.42215538,25.84485626,25.22685814,24.23139,27.33642578,28.21322441,30.30727959,30.25856018,27.16440201,27.33473396,27.27531433,27.66995811,25.60743141,30.34064293,32.23576355,24.10494614,28.41167831,31.19480515,29.4202404,20.89732552
,,25.35576439,24.69331932,26.3189621,25.6478138,24.21258736,27.57547188,28.17634392,30.93583107,30.54905319,27.55918884,26.71809387,27.91732407,27.10075951,24.92632103,30.6210537,31.18073082,24.29709244,27.05287361,31.09812355,28.26176834,20.28191757
28,W2_sub8_youth_greentea,25.48502159,24.68878365,26.13704872,25.15935135,24.93147278,28.26613998,29.91877747,30.37850761,32.93593979,27.74874115,28.40936852,27.29101181,28.49623489,24.92900276,32.11740494,23.6805191,33.92728806,29.85297394,29.80557442,32.45564651,19.04727554
,,25.82351494,25.22764778,26.28866768,25.9535675,24.82457352,27.90810585,30.08614731,30.61981583,32.93402481,27.93305779,28.25939178,27.80065536,28.37144852,24.98876572,31.82664871,24.03421593,33.35527802,29.54709435,29.41867256,32.60078812,18.48336411
,,25.81336021,24.9315815,26.52706337,25.13482285,24.93220901,27.90849495,29.81156158,29.84320068,31.9369812,27.93213463,28.20254326,28.33152771,28.87917328,24.91731834,31.82585716,23.9277668,33.9301033,29.70873451,29.92084122,32.51969147,18.73283386
36,W2_sub9_youth_greentea,25.98884583,24.95043182,26.56485939,25.60022163,24.39797211,28.88340759,29.51855659,30.35379791,32.73405075,27.8189373,28.75580215,27.33739281,28.38302803,25.05657578,31.97236443,24.09619331,33.61882401,28.69802284,29.50521851,31.91765213,19.66955948
,,26.01451874,25.450243,26.8050251,25.9621315,24.6944561,28.28829384,29.44618034,30.50459671,32.82695007,28.10276031,28.54855347,28.01891136,28.0586338,24.93275642,31.27370644,24.46439552,32.93756104,28.85817909,28.9314785,31.90943909,19.00235176
,,26.21987534,24.82762146,26.92206955,25.56122017,24.79520798,28.23600388,29.57899475,30.30804634,31.41651726,28.05131721,28.55108833,28.38793755,28.82027626,25.06217003,31.33034706,24.96795273,32.89184952,29.10182571,29.190382,31.92324257,19.15676308
35,W2_sub10_youth_greentea,27.7547245,25.97129822,27.92874718,27.25761986,25.94735909,26.79959488,27.1868782,28.65994644,32.50358963,28.44858551,31.54379082,29.51852226,30.48098183,27.06382179,30.29374695,25.92897224,29.66401672,27.37001038,26.43816376,31.47839928,20.30084038
,,27.91459465,26.49295807,27.97968483,27.51377869,26.02270508,26.48625183,26.84366417,28.84439278,32.59935379,28.95601654,30.95016098,30.01916313,29.92020226,27.17851639,29.63173103,26.31155396,29.43765831,27.52023888,26.2343483,31.40807533,20.51851845
,,27.85960579,25.86579895,27.93199539,27.18005371,26.20102882,26.59010696,27.02883148,28.76953506,31.81389046,28.91275024,30.97413063,30.26499748,30.9828186,27.46894646,29.86152458,26.75597763,29.33758163,27.82427979,26.35632133,30.47715187,20.70445442
37,W2_sub11_youth_greentea,27.42807961,25.92720032,27.77831841,26.94395447,25.68773651,26.70906639,27.10686111,28.55144882,32.54438782,28.21418571,30.77693939,28.64602852,30.05019569,26.86660004,29.92667007,25.66794777,29.60299301,27.33733368,26.41210175,31.55078125,19.89944077
,,27.71227264,26.34278679,27.70311165,27.27653122,25.80690193,26.29872513,26.93271255,28.72624969,32.60533905,28.71027946,30.31075668,28.92959976,30.2624321,26.86623001,29.37265778,25.92756844,29.52878761,27.48043251,26.09256744,30.93428802,20.17170143
,,27.76629829,25.47048187,27.67822266,26.91864014,25.91859627,26.38781929,27.06624794,28.75535583,31.78573418,28.49983788,30.59950447,29.61776352,30.36539459,26.73570061,29.91040421,26.27022743,29.25099564,27.76669884,26.52635574,30.60690498,20.36962891
45,W2_sub12_youth_greentea,26.46445274,25.18391037,26.85241318,26.57954216,24.8866539,27.35039902,27.58731461,28.90694046,32.49878693,27.83807564,29.91134644,28.65877533,28.90766716,25.63545609,30.68777657,24.73564148,30.46089172,27.70225525,26.92737961,32.30905533,19.19129181
,,26.74600601,25.55204391,27.11322975,26.94546509,24.93329811,26.98012733,27.57515907,28.91937256,32.49769974,28.22374535,29.7886219,29.34070015,28.676754,25.74627495,29.92824364,25.10308456,29.90377808,27.81276512,26.60676765,31.46906853,19.51006317
,,26.73039246,24.95758629,27.05415916,26.58554649,25.06814957,26.95399857,27.41557312,28.92100143,32.24285507,28.27199554,29.82063484,29.9066391,29.15375137,25.72915077,30.36800385,25.59193039,29.85583496,27.92638588,26.83755302,31.14427948,19.63957405
40,W2_sub13_youth_greentea,26.40795708,25.33166313,26.9309063,26.74828339,25.14790916,28.32041931,28.92922401,30.0736084,32.07956314,28.93608284,30.28730583,29.85639381,28.92657852,25.68638229,31.93253708,24.85711861,31.92241096,28.92580986,28.59091377,33.11254883,19.35923386
,,26.53571701,25.76483917,27.24136925,26.96426773,25.28618431,28.19335365,28.53837776,29.97941017,32.43036652,29.09717941,30.12687302,30.69171715,28.55906105,25.7347374,31.30224037,25.15657806,31.49337769,28.92588234,28.00832367,32.34963608,19.55464935
,,26.5479393,25.06681824,27.2681694,26.70380211,25.38382912,28.19993019,28.9251709,30.34847832,31.91796303,29.21500778,30.02912521,30.74679184,29.31057549,25.75164032,31.47390175,25.60017014,31.34531212,28.95767593,28.12169838,31.9559536,19.67889595
35,W2_sub16_placebo,28.73643494,27.01344681,28.95236015,28.58042526,26.95833397,27.54233932,Undetermined,28.90498352,32.02193451,29.61796379,33.35218048,31.92279243,31.88298035,28.36859131,31.70387077,26.90695,30.46602631,28.25037003,27.46266937,32.81125259,20.98902512
,,28.6859684,27.40116882,28.89679527,28.91293716,27.10340309,27.40457344,27.81500435,29.55765533,31.8102169,30.02390671,32.92246628,32.21217728,31.13038254,28.5642662,30.68480682,27.24474335,30.26337242,28.44767952,27.04192352,31.68938637,21.15911293
,,28.93247032,26.68877792,28.9576416,28.47182083,27.22318077,27.33580208,27.84095955,29.53511238,31.63756561,30.28600693,33.43027496,32.59012222,32.33977127,28.67199135,31.05639267,27.61579132,29.95416832,28.74701118,27.52976418,32.45411682,21.36937332
33,W2_sub17_placebo,27.86506653,25.75077438,26.78469467,26.29356384,24.85011864,26.96270943,27.92189217,29.7170105,32.88500595,28.75850296,28.44789124,28.66512489,28.92097664,25.58717537,29.80130577,24.94031334,31.51228523,28.07342529,27.52668571,31.47805595,19.38992882
,,27.92501068,24.92509079,27.72420692,25.93548584,24.51123619,27.52991676,27.91867065,29.51598167,30.93507767,28.9675045,28.88938141,28.663414,29.48955727,24.92447853,30.47891235,24.92870903,30.61821175,28.18566132,27.92601585,31.91537857,19.58210182
,,27.9544754,25.39110184,26.91306877,26.37035179,24.97186852,27.47340393,28.76058578,28.89954758,28.93165016,28.78536797,28.90119934,28.92831993,28.89265251,25.23492813,30.91627693,24.93082237,30.83742714,28.30207634,27.92042351,31.78835106,19.27548981
36,W2_sub18_placebo,27.92521858,25.92767906,26.9281826,26.53687477,25.26074219,27.6989193,28.8784523,30.77196884,32.93455887,28.83599281,28.6069622,28.936306,28.65423584,25.41552162,31.11145782,24.92070961,32.29640961,28.92876244,29.17479706,32.32360458,19.63095284
,,27.84615898,25.05798912,27.85208702,26.11062622,24.93440437,28.09747505,29.74164391,29.799366,32.11750793,28.69942665,28.9186573,28.83079529,28.762537,24.78642273,31.29023361,24.96969223,31.79693985,29.33852768,28.6424675,32.90473175,19.66286087
,,27.91783142,25.43914032,27.55319405,26.31689072,25.69251633,27.92148018,28.8767128,30.81308174,30.74132347,28.93178749,28.79898834,28.69278908,28.72614479,25.24112701,31.90034676,24.9595871,31.94277763,29.4491291,28.65772438,32.91388702,19.41857529
36,W2_sub19_placebo,27.61317444,25.3616333,26.3274231,25.93476868,24.66089821,27.08555031,28.67174911,30.53460312,32.83071899,27.92978096,27.91974449,27.75766182,28.30522919,24.92156219,30.9311676,24.2110424,32.93133926,28.08859444,28.93265343,31.23407173,18.63704872
,,27.30019569,24.61548424,26.91636086,25.71809959,25.13509369,26.92750359,28.79015541,30.31677055,32.56656265,27.93414497,28.25568581,27.93375206,28.29911613,24.53814697,31.55072403,24.15484238,31.91748238,28.34716225,28.61383438,31.60217857,18.83028412
