,,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Parkin,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,RPLP0
,,26.16811371,24.08927727,25.11051178,24.89195251,23.59949303,27.43836784,36.48072433,31.49573135,32.96847916,27.96415329,26.28318977,23.97867775,27.21214294,24.01899147,27.95663261,23.4819622,31.5118618,32.78320313,27.26372528,27.9934845,21.1991272
62,W2_sub4,26.82608795,25.9810524,25.99573135,27.21871948,24.35739899,25.39868164,36.3115654,30.25726891,32.76572037,26.09309769,29.60779953,27.24320221,29.16783714,26.43381691,29.73463058,25.43972206,29.26795197,30.97565079,26.19709969,26.78952789,22.30753136
,,27.18112373,25.96905708,26.05098724,27.4509697,24.40596962,25.51769829,36.26273346,30.07186508,33.01034927,25.98765945,29.51445389,27.22739983,28.81093407,26.31763458,30.38010025,25.69908524,29.41426659,30.67694664,26.22698402,26.53795815,22.19585609
,,27.62047958,25.6752224,26.67700005,27.36392784,24.63390541,25.43620872,36.36710358,30.58611488,32.95906448,25.98137474,29.28806496,27.17750359,28.85605431,26.37693024,29.66690445,25.5192318,29.29806709,30.89528275,26.13839722,26.33594322,22.20291138
62,W2_sub5,26.55204582,0,24.50883102,24.96811104,23.22351646,24.21126938,36.1320343,28.64736366,31.81230164,25.13980675,27.2056179,26.00555611,27.54102898,23.92686844,28.34906578,23.77569962,28.07424927,29.27577782,24.79538536,24.83216095,21.43107796
,,26.79335594,24.055233,24.55658531,24.98259926,23.21714592,24.24466133,35.98880386,29.13872719,31.96270943,25.14146423,27.34947586,25.63996124,27.85062218,23.87488556,28.32562637,23.88620758,27.98537445,29.08910751,24.84602547,24.98747444,21.39981461
,,26.61496162,23.8948555,24.88604927,24.99193573,23.58224297,24.28989792,36.1450882,28.91453743,31.52012253,25.31931496,27.49271202,25.749897,27.59584999,23.84498787,28.01000023,23.97230339,27.98544693,29.2052269,24.92252541,25.06130791,21.31175232
59,W4_sub1,26.60535812,23.75742912,24.72681236,24.86304855,23.24082947,26.19124794,35.66013718,30.93072701,31.94765854,26.18788719,27.7332077,25.2628231,28.10950279,23.5340271,28.92812729,23.18079948,30.05924797,30.47691727,26.40711212,26.99338531,20.88191605
,,26.47939491,23.66488075,24.64360046,24.80612183,23.19233894,25.96092606,35.79552078,30.7583847,32.28773117,26.18751526,27.49786568,24.82707977,28.19702148,23.34919357,28.10165787,23.11993599,29.74720573,31.08050919,26.24464226,26.92630768,20.69790268
,,26.68909645,23.90283394,25.04720497,24.65798569,23.39798546,25.97615242,36.1184845,30.65488625,31.67747688,26.15939522,27.65763283,24.50461197,27.87646103,24.0875721,28.2102108,23.13677406,29.8442688,31.37486267,26.28444099,26.89703369,20.73155212
46,W4_sub2,28.11645126,24.25559425,25.5947113,26.92781448,24.47890472,25.81447792,36.38941193,30.23442841,32.19602585,25.76282692,28.9829464,26.81738853,30.1790905,25.96674347,29.09042358,24.77048874,29.89487648,30.50253296,25.69038773,27.14431572,22.31441116
,,28.21641541,24.27046204,25.52695084,26.65945053,24.3979187,25.8026371,36.32605743,30.12175369,31.54067421,25.96442986,29.31327248,26.81513977,30.24321175,25.94536018,29.13747597,24.87664032,29.19895935,30.38746452,25.67789841,26.79587555,22.30433273
,,28.11159706,24.28570938,25.70596695,26.97075653,24.7886467,25.73191452,36.29667664,30.01270866,31.41563034,25.88966942,29.15732574,26.95672798,30.83366013,25.99032211,29.00548553,24.81646347,29.4821682,30.50886154,25.59609604,26.45466614,22.31020927
60,W4_sub3,26.60746002,23.34668732,24.67510796,24.7068634,22.92415428,25.31973076,36.19858932,29.87766457,31.29835129,25.53408623,26.47043419,23.83003807,27.4731102,23.78577614,27.5115242,23.15081596,29.15643883,30.43638992,25.53606796,26.20466232,21.13940239
,,25.63763046,23.48788452,24.51006126,24.57943916,22.83692551,25.42420387,36.41814041,29.8312397,31.94923973,25.45181274,26.93568802,23.80150604,27.28763771,23.70423508,27.25170326,23.17333603,29.03849983,30.00795174,25.51477432,26.23476601,21.01603317
,,26.40377808,23.73753929,24.97781181,24.7074604,23.23857117,25.21421051,37.04584885,29.97711754,31.81974602,25.61613655,26.28892708,23.66722298,26.45500565,23.82204819,27.54297066,23.31591034,28.98894691,30.29212379,25.52019691,26.22941017,20.92183685
62,W4_sub4,25.34287262,23.59158134,24.0030632,23.61034203,23.12332153,24.99652481,36.70503616,29.99004173,32.23653412,25.87255478,27.35634613,23.22790718,26.81529045,23.20504379,27.72829056,23.02347755,29.1173172,31.05104828,26.04373741,26.35167885,20.69958878
,,25.4047718,23.37039566,23.90891647,23.54804039,23.05692482,25.0769577,37.02907181,29.6653595,30.91966248,25.86754799,27.71782303,23.37447548,27.19793129,23.22736549,27.97168922,23.32342911,28.98742867,30.51785851,26.23407745,25.95894241,20.69286919
,,25.91356087,23.49906921,24.69401169,23.69755173,23.91319084,25.31832123,36.59933472,29.71152687,29.78846931,25.65618896,27.42209053,23.35235977,26.95562553,23.30359268,28.02404213,22.98598099,29.12718773,30.58693886,26.1085434,25.83247185,20.76895332
62,W4_sub5,26.6465416,24.22002983,24.98274231,24.97912598,23.28000069,26.66654396,36.18569946,30.93585777,33.49087906,26.86761665,27.00299644,24.70316124,27.75696564,24.07061195,28.84268761,23.65266037,30.40917587,32.61602402,27.27684593,27.29738426,21.91493988
,,26.63653755,24.18199921,25.06292725,24.75624466,23.221241,26.53165817,36.42854691,31.26773262,33.24516296,26.95749283,27.14111137,24.6706543,28.11401558,24.08019829,28.56380272,23.73269081,30.47626114,32.37630463,27.35059357,27.45015717,21.75342178
,,26.8616581,24.14331055,25.57382584,25.00771904,23.16676331,26.72757721,36.16664124,31.02222633,32.84048462,26.73331833,27.24364281,24.84920883,27.8458252,24.03188324,28.03840637,23.77153397,30.43258476,31.98134995,27.59231186,27.73893166,21.78908539
