CT,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Parkin,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,GAPDH
W4-8,25.29125214,23.2297802,23.88897896,24.00597763,22.16438103,24.53408623,36.22060776,27.26152039,31.3038578,25.69101906,26.34431267,24.2802124,26.97849083,23.58583069,26.52766991,23.18807793,27.58099747,22.35758591,24.69072914,24.72699356,19.36808205
W4-8,26.34209061,23.60526276,24.16869736,24.85415459,22.67237663,24.61096954,36.13241196,27.37238121,31.39477539,25.74477386,26.19140053,24.58683777,27.85230064,23.93832397,27.27043343,23.6408596,27.86656761,22.6277771,25.09732246,24.88371658,19.65758324
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
