"","CCT2","CCT5","CCT6A","CCT7","CCT8","pink","Parkin","Atg1","Atg8","FOXO3","SIRT1","PARP1","PARP2","NADSYN","MRPS5","UBL5","SOD3","TERT","TERC","RTEL1"
"1",1.34726509003196,1.24374503924711,1.25745571226979,1.26280534114265,1.20466433889682,1.34266807467711,1.77870864043693,1.55762675432397,1.73642317149779,1.37826059499336,1.36520597517907,1.28235879384308,1.43550757634253,1.22555991727584,1.41246050350488,1.20764736010821,1.55569485109693,1.29888109413189,1.38481840554738,1.38730466017481
"2",1.31262731400274,1.22505004255996,1.24233222953444,1.22843242895683,1.19741699047979,1.39214884323707,1.77978428222671,1.61827512057547,1.75483551497854,1.40427040131536,1.32258150051662,1.22441758895631,1.38579295968774,1.20561046263372,1.35136917121544,1.18394373859256,1.6782249203822,1.39323728849603,1.49564718715669,1.43835360750599
"3",1.37347182406342,1.26141820205358,1.2820022683383,1.28363110620205,1.21225815863067,1.40352089850422,1.83956570991217,1.63222062100229,1.74317555470731,1.40869310973278,1.38292412553099,1.27165239965397,1.43321106054504,1.23236774241808,1.37973566405125,1.21405443528796,1.66079965717115,1.44916298158688,1.47493065472518,1.4509524341578
"4",1.36824952050925,1.22653518655699,1.29302062721385,1.27837422131931,1.21620278870274,1.33707812814613,1.73846601773926,1.52093687843628,1.62008018691619,1.34817196485852,1.41476047634605,1.24431704036282,1.44816744863877,1.21391644820553,1.36945110487429,1.17761056216512,1.51449595883809,1.32427586131704,1.34942057782078,1.36277788898069
"5",1.33553323322502,1.21781299206321,1.26593566547601,1.25399538605423,1.20169619622849,1.36203330255559,1.78369068821115,1.49459546179507,1.63863475405408,1.36192681177933,1.3800382981295,1.25192546350972,1.41818527712996,1.20717129044552,1.36138209203265,1.19362903893373,1.53853825612628,1.33599615546056,1.3861066654285,1.38470275008935
"6",1.36948206193714,1.20392937192183,1.25533641576032,1.23992730651558,1.19040805318836,1.34920378232624,1.70358431578095,1.54526809822684,1.64137212091814,1.35762164211379,1.31451268367112,1.22072237221126,1.37448994349517,1.18191116214566,1.46273515886134,1.16838799446003,1.62231217792494,1.35140294761219,1.37734469486496,1.37857661263962
"7",1.34112036099057,1.20113007365435,1.23757197905655,1.24451480701379,1.18569368818296,1.25495474931252,1.72425131884041,1.42243302705597,1.59087382470389,1.26584282418655,1.33335806752046,1.2424076960621,1.39181000748776,1.19657736109474,1.39280771237229,1.18611015090555,1.47060742925287,1.21481392722102,1.2692865429634,1.28208524695266
"8",1.35660302334652,1.206543790043,1.2644132781457,1.26530566551111,1.1748123173788,1.32110550094934,1.80537801194818,1.49856701649967,1.62852420274173,1.32100713639177,1.35466114038251,1.25310327542073,1.40730498988348,1.19683719036245,1.42159058867308,1.18478198701846,1.49962207885715,1.24472093087351,1.32108254703895,1.32948087099625
"9",1.32205642273049,1.21432274772117,1.24834911945386,1.24466328850344,1.1942949292602,1.34493053133848,1.84935836493271,1.46860626285605,1.69730588252054,1.36056202394829,1.33796042521423,1.2703647933703,1.4134336905965,1.23408021062439,1.40857355694753,1.21036142342265,1.49417086593495,1.22521267697025,1.34713444579817,1.32521841491388
"10",1.31471091384695,1.21032980418003,1.2401322924597,1.22866000035591,1.20528071054743,1.38815925367916,1.9158620454581,1.52616191019723,1.68142667699947,1.37994126227598,1.31613093309245,1.23876521313303,1.39188268753769,1.21653548305465,1.42519881489554,1.18869250092635,1.57078937934598,1.30952757281684,1.41539539242144,1.40345380062545
"11",1.34354610660258,1.21588855785194,1.26222133031461,1.23563492785798,1.19604751563561,1.2875463930865,1.87352703391982,1.43016952200362,1.66927318405783,1.3706857562697,1.39393039765687,1.29768323118643,1.41973894393085,1.23014438049627,1.42354950318855,1.21551173413677,1.47600392574681,1.20102900493925,1.32401102553476,1.31742400686201
"12",1.32868623218847,1.18289914833347,1.24153750577129,1.23768505766701,1.18193678218608,1.24432346323192,1.80726075991166,1.37569465290168,1.61971876600619,1.29161009467651,1.37610531285137,1.25380312857905,1.41882695180886,1.23047338958997,1.38428964423798,1.19831044898959,1.43663985350968,1.19169074471398,1.2725261738194,1.27936538674435
"13",1.33197300215574,1.19308209261561,1.22909148860523,1.23921070144605,1.17288782557381,1.28763620987536,1.78378911730399,1.42075229493722,1.66220548435221,1.30403399981946,1.31956169172785,1.21249685053926,1.39513660300957,1.21737244068293,1.38013995025794,1.18997236223362,1.50028883227485,1.26048064243669,1.31002513988331,1.30851835911161
"14",1.30093409447318,1.18430957361398,1.22592324813435,1.22878151490689,1.17234015034971,1.2798773436634,1.76382261607604,1.45465267958331,1.6014570705587,1.29422156303372,1.32909259108308,1.22731481036965,1.40084514879548,1.22307601383249,1.40486101957752,1.19205084776068,1.45373153545477,1.21312687332058,1.27394022544025,1.29974830018321
"15",1.33504957764756,1.19379941781892,1.24232986250069,1.24849138051406,1.18048920286558,1.24713082041009,1.8092890959147,1.39008224573927,1.58515072563184,1.28768344836963,1.4071239131379,1.28446324486932,1.50057825637782,1.23570954860685,1.39253606939428,1.19097412432643,1.41039742944669,1.15034665439402,1.24506945443047,1.26530839526157
"16",1.32345128765918,1.19909916704786,1.23365627383018,1.24930886937163,1.14925317694881,1.26131007367266,1.85861804493161,1.40461146640891,1.61359925567536,1.32263290165926,1.35255699302082,1.25751190199552,1.40840378117549,1.22507516443752,1.37963639808597,1.20257459125128,1.42655959974092,1.1547724394152,1.27636399627134,1.27441121733983
