,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,age
65,1.292598762,1.139668859,1.221890827,1.353789282,1.183746658,1.263407649,1.516931426,1.437095903,1.307882351,1.377929236,1.50364621,1.433477182,1.374804852,1.63949134,1.520150836,1.211989948,1.477520252,1.266116844,1.299490264,38
29,1.272579052,1.16299827,1.277267941,1.238067814,1.200135622,1.292188874,1.579012277,1.469507138,1.345704917,1.404416438,1.328935996,1.469748479,1.28427424,1.719896418,1.570051312,1.21698196,1.499569925,1.328306012,1.341802526,40
55,1.272579052,1.16299827,1.277267941,1.238067814,1.200135622,1.292188874,1.579012277,1.469507138,1.345704917,1.328935996,1.404416438,1.469748479,1.28427424,1.719896418,1.570051312,1.21698196,1.499569925,1.328306012,1.341802526,40
26,1.339393162,1.173246466,1.312598578,1.469648165,1.216564148,1.425984174,1.67119386,1.512162726,1.478885709,1.556061056,1.382511543,1.525777446,1.407060278,1.748786278,1.69514572,1.216094192,1.656625804,1.398238154,1.459905096,42
43,1.339393162,1.173246466,1.312598578,1.469648165,1.216564148,1.425984174,1.67119386,1.512162726,1.478885709,1.382511543,1.556061056,1.525777446,1.407060278,1.748786278,1.69514572,1.216094192,1.656625804,1.398238154,1.459905096,42
61,1.339393162,1.173246466,1.312598578,1.469648165,1.216564148,1.425984174,1.67119386,1.512162726,1.478885709,1.382511543,1.556061056,1.525777446,1.407060278,1.748786278,1.69514572,1.216094192,1.656625804,1.398238154,1.459905096,42
30,1.249551305,1.143734385,1.256560633,1.22104425,1.158689577,1.287139168,1.549554664,1.416498936,1.36573873,1.348572788,1.240743705,1.398078755,1.194562463,1.58136132,1.540874645,1.175880764,1.481877864,1.301256032,1.31085126,44
28,1.331391363,1.204018002,1.334830684,1.29149932,1.217677861,1.432619378,1.697045967,1.536456229,1.48400264,1.428004802,1.300715496,1.465333821,1.267753706,1.703522523,1.83385919,1.254434916,1.729209583,1.565583068,1.524515114,45
54,1.331391363,1.204018002,1.334830684,1.29149932,1.217677861,1.432619378,1.697045967,1.536456229,1.48400264,1.300715496,1.428004802,1.465333821,1.267753706,1.703522523,1.83385919,1.254434916,1.729209583,1.565583068,1.524515114,45
25,1.335533233,1.217812992,1.265935665,1.253995386,1.201696196,1.362033303,1.494595462,1.638634754,1.361926812,1.380038298,1.251925464,1.418185277,1.20717129,1.361382092,1.193629039,1.538538256,1.335996155,1.386106665,1.38470275,46
31,1.256603399,1.108248849,1.127634769,1.116324951,1.09355122,1.084431542,1.229118564,1.423146798,1.186968673,1.345209962,1.243041348,1.32293531,1.191699238,1.27884907,1.140382875,1.262547382,0.998995285,1.11563594,1.124622001,46
27,1.342358498,1.199038267,1.328252751,1.318874803,1.253894399,1.384902187,1.664723438,1.542440274,1.457956631,1.561875771,1.38237514,1.541957153,1.325435303,1.680718068,1.686746049,1.249198864,1.6500073,1.38725521,1.446881213,49
44,1.342358498,1.199038267,1.328252751,1.318874803,1.253894399,1.384902187,1.664723438,1.542440274,1.457956631,1.38237514,1.561875771,1.541957153,1.325435303,1.680718068,1.686746049,1.249198864,1.6500073,1.38725521,1.446881213,49
62,1.342358498,1.199038267,1.328252751,1.318874803,1.253894399,1.384902187,1.664723438,1.542440274,1.457956631,1.38237514,1.561875771,1.541957153,1.325435303,1.680718068,1.686746049,1.249198864,1.6500073,1.38725521,1.446881213,49
33,1.27478823,1.131247482,1.180010401,1.175428923,1.105228355,1.141120816,1.293992691,1.495218648,1.166521091,1.344297602,1.212610357,1.374642992,1.150210819,1.322830888,1.120579774,1.319277527,1.070265408,1.160988872,1.172201381,50
35,1.233868182,1.11603749,1.14190546,1.12743293,1.097192237,1.121226982,1.26280444,1.49067096,1.172569014,1.260124481,1.167239764,1.301383204,1.110046131,1.28376731,1.128563442,1.300997422,1.033213447,1.143275465,1.1472475,53
34,1.265102023,1.161177232,1.189681641,1.157334138,1.126639301,1.229665004,1.392610764,1.572094673,1.26220421,1.266789366,1.198454485,1.307232072,1.111477398,1.351405732,1.11459615,1.438288939,1.167554965,1.269550703,1.265416237,55
32,1.373471824,1.261418202,1.282002268,1.283631106,1.212258159,1.403520899,1.632220621,1.743175555,1.40869311,1.382924126,1.2716524,1.433211061,1.232367742,1.379735664,1.214054435,1.660799657,1.449162982,1.474930655,1.450952434,59
36,1.263905606,1.104804498,1.124939465,1.123555256,1.090997952,1.078458766,1.22676302,1.400340456,1.186372002,1.407916553,1.298933211,1.38325288,1.270780695,1.283157044,1.188156745,1.257353925,1.001303775,1.105827006,1.10260619,59
39,1.257378717,1.115844304,1.137551928,1.126006318,1.092101664,1.092416082,1.235029101,1.430768551,1.226104842,1.287670567,1.224565462,1.331565536,1.187798823,1.281732126,1.157130533,1.268353816,1.00140715,1.120197621,1.117553868,60
38,1.272906447,1.158071682,1.183891826,1.157941644,1.100663061,1.217381295,1.385771007,1.58242264,1.281951039,1.278030613,1.17201722,1.311308425,1.104872811,1.332939936,1.111107793,1.421757248,1.143624419,1.251357105,1.235776288,61
37,1.312627314,1.225050043,1.24233223,1.228432429,1.19741699,1.392148843,1.618275121,1.754835515,1.404270401,1.322581501,1.224417589,1.38579296,1.205610463,1.351369171,1.183943739,1.67822492,1.393237288,1.495647187,1.438353608,62
40,1.257807367,1.114308557,1.14806812,1.126440505,1.091151269,1.091083064,1.221727864,1.449041245,1.233599275,1.519172778,1.290563033,1.384738872,1.338354294,1.285451862,1.173852702,1.258402875,0.993092388,1.115950676,1.116640718,62
41,1.240086755,1.095912161,1.122555231,1.11509816,1.081387801,1.082269412,1.18925633,1.388329662,1.215629852,1.398660669,1.266120064,1.328024372,1.23135596,1.246633016,1.129357898,1.240432418,0.982944859,1.105657594,1.105546598,62
42,1.224306232,1.127338585,1.152555778,1.136631557,1.096713531,1.231114484,1.3991902,1.583296856,1.273765589,1.246598902,1.16845936,1.289954624,1.105516865,1.343620569,1.096236446,1.440418009,1.181633702,1.265831606,1.251663924,70
