,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Parkin,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1
1,1.370175516,1.182982358,1.267244596,1.341223883,1.191118102,1.347263323,1.207446491,1.668993128,1.526043003,1.275151157,1.422095783,1.31492471,1.494122353,1.312664044,1.456915062,1.221356137,1.598450521,1.329175705,1.241660604,1.196842965
2,1.234051657,1.147459081,1.210506439,1.238996866,1.15406232,1.267019074,1.255106793,1.516529279,1.573361135,1.332508013,1.358202955,1.236267162,1.367707518,1.213578536,1.449244277,1.181043013,1.485161035,1.255304837,1.309352688,1.25804602
3,1.302300912,1.169603696,1.260669349,1.291387576,1.182886983,1.264511637,1.270662888,1.343507294,1.4851701,1.276660838,1.434123119,1.278925464,1.459737282,1.240669046,1.391447435,1.15480136,1.361820761,1.18168803,1.289773121,1.239698359
4,1.194467144,1.09256952,1.147615164,1.104463792,1.11567343,1.074483704,1.116115081,0.930083839,1.453781349,1.223638653,1.461294933,1.234492166,1.271033732,1.314948182,1.167489549,1.138741837,1.283468365,0.990610951,1.179648466,1.070635761
5,1.353877354,1.17631125,1.238372489,1.238339549,1.199614582,1.843731747,1.316025568,1.843731747,1.6042822,1.424376153,1.411008968,1.341109492,1.520089988,1.268162643,1.659278657,1.204379599,1.608298905,1.526547095,1.278464374,1.207260694
6,1.268706816,1.190678856,1.233768713,1.231507205,1.163942554,1.352211527,1.318001901,1.602789229,1.572761981,1.307338219,1.329650917,1.273361124,1.37799363,1.212344259,1.379483609,1.168905158,1.446488647,1.344355161,1.352702584,1.314959547
7,1.259374311,1.169882336,1.248400938,1.208236999,1.146720876,1.285807036,1.330854153,1.361204201,1.508521698,1.320880711,1.330589333,1.314057589,1.386434595,1.173660788,1.279584082,1.128120008,1.375000431,1.215844035,1.364715489,1.319375208
8,1.332875945,1.165350657,1.274724473,1.188721523,1.155880507,1.202776382,1.257130758,1.28709756,1.500965393,1.347103718,1.330972598,1.349123817,1.392801812,1.282329006,1.252749867,1.197095911,1.405143034,1.148302382,1.351609302,1.309889228
